1,0,0	[8.93077]	0.9625561149977034	8.376242527252237e-13
1,0,1	[6.2931504]	0.9492386135381804	1.6613615977972017e-11
1,0,2	[9.56949]	0.9329661371058964	2.502779413215259e-10
1,0,3	[21.129824]	0.9242434866826581	8.19786050780735e-10
1,0,4	[1.4599007]	0.9807847616720478	1.1441358657919334e-15
1,0,5	[9.786693]	0.9451841727624164	3.5222584894090303e-11
1,0,6	[6.5256505]	0.9449400008956319	3.678572902319619e-11
1,0,7	[1.7979974]	0.9732973050474496	2.9794591260652794e-14
1,0,8	[0.9364709]	0.9926855574959934	7.675301199674359e-20
1,0,9	[1.9386312]	0.9806155240829548	6.530490751310893e-15
1,1,0	[7.7495923]	0.9780397930564916	4.299959152958979e-15
1,1,1	[17.150517]	0.916728223223611	2.0448567526919027e-09
1,1,2	[1.6886338]	0.9775204399146902	5.420591029878638e-15
1,1,3	[13.853912]	0.9415200022214247	6.624684102214882e-11
1,1,4	[0.8266097]	0.9892857759692713	3.4421272543195548e-18
1,1,5	[5.275756]	0.9620666779436462	9.5184302933334e-13
1,1,6	[5.991218]	0.95739703162929	2.980676802000801e-12
1,1,7	[6.9093046]	0.9598643746242186	1.6583584231569757e-12
1,1,8	[4.804322]	0.9699963411976782	9.42741621540971e-14
1,1,9	[2.2003856]	0.9707784551425034	3.1025231141037997e-13
1,2,0	[10.3429785]	0.9654493919390638	3.7932992221673143e-13
1,2,1	[7.591163]	0.939755857945142	8.851664420648209e-11
1,2,2	[2.022201]	0.9800023899412591	1.699805174769813e-15
1,2,3	[2.7528892]	0.9838655314145002	2.0187442251935636e-16
1,2,4	[1.292128]	0.9818981304466888	6.327730872581382e-16
1,2,5	[0.40050307]	0.990778429932574	7.725588818671325e-19
1,2,6	[1.5181127]	0.9863471146944176	3.8389813278708003e-17
1,2,7	[1.4068888]	0.9777494515197498	4.897636390926603e-15
1,2,8	[5.9766283]	0.9447791344199702	3.784921141472563e-11
1,2,9	[10.388438]	0.9304402098094682	1.0026414372942558e-09
